gene_name,meth.diff,GO,p.value,product
LOC111100426,52,GO:0006355,5.3e-07,far upstream element-binding protein 3-like
LOC111100426,50,GO:0006355,5.3e-07,far upstream element-binding protein 3-like
LOC111100364,-55,GO:0006355,5.3e-07,histone deacetylase complex subunit SAP130-like
LOC111099777,59,GO:0006355,5.3e-07,gastrula zinc finger protein XlCGF7.1-like
LOC111100582,54,GO:0006355,5.3e-07,lysine-specific demethylase 3A-like
LOC111104141,54,GO:0006355,5.3e-07,protein arginine N-methyltransferase 3-like
LOC111103434,56,GO:0006355,5.3e-07,cold shock domain-containing protein E1-like
LOC111105580,57,GO:0006355,5.3e-07,chromatin modification-related protein MEAF6-like
LOC111104017,-56,GO:0006355,5.3e-07,zinc finger protein 711-like
LOC111104779,-54,GO:0006355,5.3e-07,uncharacterized LOC111104779
LOC111104074,-53,GO:0006355,5.3e-07,interleukin-1 receptor-associated kinase 1-binding protein 1-like
LOC111103123,64,GO:0006355,5.3e-07,AT-rich interactive domain-containing protein 2-like
LOC111107565,-54,GO:0006355,5.3e-07,host cell factor 1-like
LOC111107409,60,GO:0006355,5.3e-07,orphan steroid hormone receptor 2-like
LOC111106378,-53,GO:0006355,5.3e-07,uncharacterized LOC111106378
LOC111108790,51,GO:0006355,5.3e-07,scm-like with four MBT domains protein 1
LOC111108271,-55,GO:0006355,5.3e-07,titin homolog
LOC111108271,-51,GO:0006355,5.3e-07,titin homolog
LOC111106496,51,GO:0006355,5.3e-07,DNA-binding protein P3A2-like
LOC111110366,55,GO:0006355,5.3e-07,uncharacterized LOC111110366
LOC111108180,-51,GO:0006355,5.3e-07,zinc finger and BTB domain-containing protein 49-like
LOC111108180,-52,GO:0006355,5.3e-07,zinc finger and BTB domain-containing protein 49-like
LOC111105716,52,GO:0006355,5.3e-07,protein polybromo-1-like
LOC111110750,51,GO:0006355,5.3e-07,WD repeat-containing protein 75-like
LOC111114721,-56,GO:0006355,5.3e-07,transformation/transcription domain-associated protein-like
LOC111115438,-61,GO:0006355,5.3e-07,uncharacterized LOC111115438
LOC111114986,51,GO:0006355,5.3e-07,zinc finger protein 420-like
LOC111111274,52,GO:0006355,5.3e-07,COMM domain-containing protein 4-like
LOC111113180,-57,GO:0006355,5.3e-07,zinc finger protein 37 homolog
LOC111117335,60,GO:0006355,5.3e-07,zinc finger protein 473 homolog
LOC111117305,55,GO:0006355,5.3e-07,endothelial zinc finger protein induced by tumor necrosis factor alpha-like
LOC111117825,50,GO:0006355,5.3e-07,transformation/transcription domain-associated protein-like
LOC111104835,62,GO:0043547,5.6e-07,arf-GAP with GTPase
LOC111104835,55,GO:0043547,5.6e-07,arf-GAP with GTPase
LOC111118303,51,GO:0043547,5.6e-07,rap1 GTPase-GDP dissociation stimulator 1-B-like
LOC111121366,50,GO:0043547,5.6e-07,rap guanine nucleotide exchange factor 6-like
LOC111120738,64,GO:0043547,5.6e-07,RAB6A-GEF complex partner protein 1-like
LOC111125534,-51,GO:0043547,5.6e-07,triple functional domain protein-like
LOC111124696,-71,GO:0043547,5.6e-07,E3 SUMO-protein ligase RanBP2-like
LOC111124696,-51,GO:0043547,5.6e-07,E3 SUMO-protein ligase RanBP2-like
LOC111128477,59,GO:0043547,5.6e-07,uncharacterized LOC111128477
LOC111128477,52,GO:0043547,5.6e-07,uncharacterized LOC111128477
LOC111131208,57,GO:0043547,5.6e-07,WD repeat-containing protein 41-like
LOC111099157,-67,GO:0043547,5.6e-07,rap1 GTPase-activating protein 1-like
LOC111133403,-57,GO:0043547,5.6e-07,rap1 GTPase-activating protein 1-like
LOC111133403,66,GO:0043547,5.6e-07,rap1 GTPase-activating protein 1-like
LOC111135949,-53,GO:0043547,5.6e-07,neurofibromin-like
LOC111132939,-50,GO:0043547,5.6e-07,agrin-like
LOC111132939,-51,GO:0043547,5.6e-07,agrin-like
LOC111100962,51,GO:0043547,5.6e-07,protein ECT2-like
LOC111103819,74,GO:0043547,5.6e-07,afadin-like
LOC111106022,56,GO:0043547,5.6e-07,plexin-B1-like
LOC111112703,51,GO:0043547,5.6e-07,sorting nexin-13-like
LOC111135499,50,GO:0006403,1.8e-06,pre-mRNA-processing factor 6-like
LOC111121447,62,GO:0048193,2.7e-06,RAD50-interacting protein 1-like
LOC111129524,50,GO:0051252,3.2e-06,endoribonuclease Dicer-like
LOC111135335,-50,GO:0060271,3.4e-06,WD repeat-containing protein 35-like
LOC111110828,-53,GO:0060271,3.4e-06,tectonic-3-like
LOC111120496,61,GO:0060271,3.4e-06,intraflagellar transport protein 140 homolog
LOC111120496,-54,GO:0060271,3.4e-06,intraflagellar transport protein 140 homolog
LOC111120713,-73,GO:0060271,3.4e-06,intraflagellar transport protein 172 homolog
LOC111121543,66,GO:0060271,3.4e-06,protein JBTS17-like
LOC111122003,-57,GO:0060271,3.4e-06,B9 domain-containing protein 1-like
LOC111124747,66,GO:0060271,3.4e-06,centrosomal protein of 164 kDa-like
LOC111124747,58,GO:0060271,3.4e-06,centrosomal protein of 164 kDa-like
LOC111123971,51,GO:0060271,3.4e-06,tyrosine-protein phosphatase non-receptor type 23-like
LOC111123971,74,GO:0060271,3.4e-06,tyrosine-protein phosphatase non-receptor type 23-like
LOC111123971,61,GO:0060271,3.4e-06,tyrosine-protein phosphatase non-receptor type 23-like
LOC111128088,61,GO:0060271,3.4e-06,tetratricopeptide repeat protein 8-like
LOC111133006,51,GO:0060271,3.4e-06,centrosomal protein of 290 kDa-like
LOC111133006,57,GO:0060271,3.4e-06,centrosomal protein of 290 kDa-like
LOC111134148,-50,GO:0060271,3.4e-06,septin-7-like
LOC111134148,51,GO:0060271,3.4e-06,septin-7-like
LOC111135792,50,GO:0060271,3.4e-06,protein broad-minded-like
LOC111134944,64,GO:0060271,3.4e-06,transcription factor RFX4-like
LOC111136651,58,GO:0060271,3.4e-06,multidrug resistance-associated protein 4-like
LOC111101328,-55,GO:0060271,3.4e-06,guanine nucleotide exchange factor for Rab-3A-like
LOC111101972,53,GO:0060271,3.4e-06,X-linked retinitis pigmentosa GTPase regulator-like
LOC111100546,58,GO:0060271,3.4e-06,X-linked retinitis pigmentosa GTPase regulator-like
LOC111100602,69,GO:0060271,3.4e-06,WD repeat-containing protein 34-like
LOC111101023,62,GO:0060271,3.4e-06,serine/threonine-protein kinase 36-like
LOC111108799,-54,GO:0060271,3.4e-06,protein tyrosine phosphatase domain-containing protein 1-like
LOC111106953,52,GO:0060271,3.4e-06,centrosomal protein of 41 kDa-like
LOC111108707,-51,GO:0060271,3.4e-06,fibropellin-1-like
LOC111107913,52,GO:0060271,3.4e-06,filamin-A-like
LOC111107913,53,GO:0060271,3.4e-06,filamin-A-like
LOC111107620,66,GO:0060271,3.4e-06,cilia- and flagella-associated protein 54-like
LOC111107620,57,GO:0060271,3.4e-06,cilia- and flagella-associated protein 54-like
LOC111108798,51,GO:0060271,3.4e-06,intraflagellar transport protein 122 homolog
LOC111105908,51,GO:0060271,3.4e-06,centrosomal protein of 83 kDa-like
LOC111112099,50,GO:0060271,3.4e-06,A-kinase anchor protein 9-like
LOC111112099,61,GO:0060271,3.4e-06,A-kinase anchor protein 9-like
LOC111112099,59,GO:0060271,3.4e-06,A-kinase anchor protein 9-like
LOC111111633,-51,GO:0060271,3.4e-06,NAD-dependent protein deacetylase sirtuin-2-like
LOC111135439,59,GO:0016570,3.7e-06,biotin--protein ligase-like
LOC111117970,-65,GO:0000226,4.2e-06,focal adhesion kinase 1-like
LOC111117970,-50,GO:0000226,4.2e-06,focal adhesion kinase 1-like
LOC111124939,50,GO:0000226,4.2e-06,centrosome-associated protein CEP250-like
LOC111131267,51,GO:0000226,4.2e-06,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like
LOC111134993,64,GO:0000226,4.2e-06,transforming acidic coiled-coil-containing protein 1-like
LOC111134993,74,GO:0000226,4.2e-06,transforming acidic coiled-coil-containing protein 1-like
LOC111108238,65,GO:0000226,4.2e-06,uncharacterized LOC111108238
LOC111112099,50,GO:0000226,4.2e-06,A-kinase anchor protein 9-like
LOC111112099,61,GO:0000226,4.2e-06,A-kinase anchor protein 9-like
LOC111112099,59,GO:0000226,4.2e-06,A-kinase anchor protein 9-like
LOC111113273,-52,GO:0044782,5.1e-06,centrosomal protein of 78 kDa-like
LOC111133592,-54,GO:0032438,5.6e-06,ras-related protein Rab-32-like
LOC111133592,-58,GO:0032438,5.6e-06,ras-related protein Rab-32-like
LOC111125905,-61,GO:0032438,5.6e-06,kinesin-like protein KIF13B
LOC111125905,-70,GO:0032438,5.6e-06,kinesin-like protein KIF13B
LOC111125905,73,GO:0032438,5.6e-06,kinesin-like protein KIF13B
LOC111125905,53,GO:0032438,5.6e-06,kinesin-like protein KIF13B
LOC111125905,-53,GO:0032438,5.6e-06,kinesin-like protein KIF13B
LOC111125959,-53,GO:0032438,5.6e-06,uncharacterized LOC111125959
LOC111124997,55,GO:0032438,5.6e-06,SNARE-associated protein Snapin-like
LOC111131843,-50,GO:0032438,5.6e-06,lysosomal-trafficking regulator-like
LOC111137311,58,GO:0032438,5.6e-06,uncharacterized LOC111137311
LOC111131843,-50,GO:0048753,5.6e-06,lysosomal-trafficking regulator-like
LOC111118970,54,GO:0030030,7.3e-06,coiled-coil domain-containing protein 78-like
LOC111122636,63,GO:0030030,7.3e-06,dynein beta chain
LOC111125428,-60,GO:0030030,7.3e-06,cytoplasmic dynein 2 heavy chain 1-like
LOC111125124,55,GO:0030030,7.3e-06,hamartin-like
LOC111110034,-72,GO:0030030,7.3e-06,IQ and ubiquitin-like domain-containing protein
LOC111134598,-57,GO:0015031,1.0e-05,pleckstrin homology domain-containing family F member 2-like
LOC111126577,66,GO:0015031,1.0e-05,uncharacterized LOC111126577
LOC111120139,-52,GO:0015031,1.0e-05,GPI inositol-deacylase-like
LOC111120783,-53,GO:0015031,1.0e-05,charged multivesicular body protein 5-like
LOC111120878,68,GO:0015031,1.0e-05,histone-binding protein N1/N2-like
LOC111120878,56,GO:0015031,1.0e-05,histone-binding protein N1/N2-like
LOC111118850,-67,GO:0015031,1.0e-05,serine/arginine repetitive matrix protein 2-like
LOC111119012,53,GO:0015031,1.0e-05,uncharacterized LOC111119012
LOC111119012,68,GO:0015031,1.0e-05,uncharacterized LOC111119012
LOC111121916,57,GO:0015031,1.0e-05,kelch-like protein 3
LOC111122360,-58,GO:0015031,1.0e-05,inactive rhomboid protein 1-like
LOC111120645,51,GO:0015031,1.0e-05,protein Hook homolog 3-like
LOC111120645,-62,GO:0015031,1.0e-05,protein Hook homolog 3-like
LOC111119698,50,GO:0015031,1.0e-05,extracellular matrix protein FRAS1-like
LOC111119698,-73,GO:0015031,1.0e-05,extracellular matrix protein FRAS1-like
LOC111119697,51,GO:0015031,1.0e-05,extracellular matrix protein FRAS1-like
LOC111119697,65,GO:0015031,1.0e-05,extracellular matrix protein FRAS1-like
LOC111118022,-53,GO:0015031,1.0e-05,exocyst complex component 7-like
LOC111121447,62,GO:0015031,1.0e-05,RAD50-interacting protein 1-like
LOC111122587,-50,GO:0015031,1.0e-05,proteolipid protein DM beta-like
LOC111123971,51,GO:0015031,1.0e-05,tyrosine-protein phosphatase non-receptor type 23-like
LOC111123971,74,GO:0015031,1.0e-05,tyrosine-protein phosphatase non-receptor type 23-like
LOC111123971,61,GO:0015031,1.0e-05,tyrosine-protein phosphatase non-receptor type 23-like
LOC111123804,-57,GO:0015031,1.0e-05,NTF2-related export protein 2-like
LOC111123804,-52,GO:0015031,1.0e-05,NTF2-related export protein 2-like
LOC111123804,-70,GO:0015031,1.0e-05,NTF2-related export protein 2-like
LOC111128088,61,GO:0015031,1.0e-05,tetratricopeptide repeat protein 8-like
LOC111131258,62,GO:0015031,1.0e-05,exocyst complex component 5-like
LOC111131470,-59,GO:0015031,1.0e-05,AP-5 complex subunit beta-1-like
LOC111131470,-58,GO:0015031,1.0e-05,AP-5 complex subunit beta-1-like
LOC111128599,51,GO:0015031,1.0e-05,EH domain-binding protein 1-like
LOC111128599,54,GO:0015031,1.0e-05,EH domain-binding protein 1-like
LOC111128599,52,GO:0015031,1.0e-05,EH domain-binding protein 1-like
LOC111131437,-52,GO:0015031,1.0e-05,ribosome-binding protein 1-like
LOC111130915,50,GO:0015031,1.0e-05,conserved oligomeric Golgi complex subunit 1-like
LOC111133006,51,GO:0015031,1.0e-05,centrosomal protein of 290 kDa-like
LOC111133006,57,GO:0015031,1.0e-05,centrosomal protein of 290 kDa-like
LOC111135247,-54,GO:0015031,1.0e-05,protein spire homolog 1-like
LOC111135247,-67,GO:0015031,1.0e-05,protein spire homolog 1-like
LOC111134748,-63,GO:0015031,1.0e-05,exocyst complex component 2-like
LOC111132028,-53,GO:0015031,1.0e-05,vacuolar protein sorting-associated protein 53 homolog
LOC111132028,-50,GO:0015031,1.0e-05,vacuolar protein sorting-associated protein 53 homolog
LOC111136676,56,GO:0015031,1.0e-05,AKT-interacting protein-like
LOC111135863,-70,GO:0015031,1.0e-05,hemocyte protein-glutamine gamma-glutamyltransferase-like
LOC111136186,-51,GO:0015031,1.0e-05,exocyst complex component 8-like
LOC111134449,-56,GO:0015031,1.0e-05,eukaryotic translation initiation factor 4E transporter-like
LOC111134995,54,GO:0015031,1.0e-05,tankyrase-1-like
LOC111134800,-58,GO:0015031,1.0e-05,tripartite motif-containing protein 55-like
LOC111132189,62,GO:0015031,1.0e-05,putative uncharacterized protein DDB_G0277255
LOC111132189,51,GO:0015031,1.0e-05,putative uncharacterized protein DDB_G0277255
LOC111134676,59,GO:0015031,1.0e-05,beta-arrestin-1-like
LOC111136994,-58,GO:0015031,1.0e-05,tripartite motif-containing protein 5-like
LOC111137470,63,GO:0015031,1.0e-05,uncharacterized LOC111137470
LOC111137470,59,GO:0015031,1.0e-05,uncharacterized LOC111137470
LOC111137470,53,GO:0015031,1.0e-05,uncharacterized LOC111137470
LOC111133277,-77,GO:0015031,1.0e-05,uncharacterized LOC111133277
LOC111133277,-82,GO:0015031,1.0e-05,uncharacterized LOC111133277
LOC111133282,-77,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-53,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-51,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-54,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-57,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-56,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-50,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-52,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111133282,-60,GO:0015031,1.0e-05,uncharacterized LOC111133282
LOC111099850,73,GO:0015031,1.0e-05,uncharacterized LOC111099850
LOC111099850,52,GO:0015031,1.0e-05,uncharacterized LOC111099850
LOC111100962,51,GO:0015031,1.0e-05,protein ECT2-like
LOC111099960,55,GO:0015031,1.0e-05,uncharacterized LOC111099960
LOC111102907,73,GO:0015031,1.0e-05,charged multivesicular body protein 2a-like
LOC111103322,-50,GO:0015031,1.0e-05,protein dopey-1-like
LOC111103322,-51,GO:0015031,1.0e-05,protein dopey-1-like
LOC111104268,58,GO:0015031,1.0e-05,exportin-4-like
LOC111102735,52,GO:0015031,1.0e-05,uncharacterized LOC111102735
LOC111109622,53,GO:0015031,1.0e-05,WASH complex subunit 4-like
LOC111108105,-55,GO:0015031,1.0e-05,glutamic acid-rich protein-like
LOC111106044,56,GO:0015031,1.0e-05,conserved oligomeric Golgi complex subunit 6-like
LOC111106044,73,GO:0015031,1.0e-05,conserved oligomeric Golgi complex subunit 6-like
LOC111110125,-50,GO:0015031,1.0e-05,protein MON2 homolog
LOC111110125,-54,GO:0015031,1.0e-05,protein MON2 homolog
LOC111110125,61,GO:0015031,1.0e-05,protein MON2 homolog
LOC111110125,-53,GO:0015031,1.0e-05,protein MON2 homolog
LOC111106953,52,GO:0015031,1.0e-05,centrosomal protein of 41 kDa-like
LOC111107856,60,GO:0015031,1.0e-05,protein MON2 homolog
LOC111111451,62,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,65,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,55,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,61,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,66,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,68,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,64,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,70,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,58,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111451,57,GO:0015031,1.0e-05,uncharacterized LOC111111451
LOC111111058,-60,GO:0015031,1.0e-05,unconventional myosin-Va-like
LOC111111058,61,GO:0015031,1.0e-05,unconventional myosin-Va-like
LOC111111058,50,GO:0015031,1.0e-05,unconventional myosin-Va-like
LOC111115943,-52,GO:0015031,1.0e-05,coiled-coil domain-containing protein 93-like
LOC111112242,50,GO:0015031,1.0e-05,E3 ubiquitin-protein ligase TRIM71-like
LOC111117050,51,GO:0051301,1.5e-05,serine/threonine-protein kinase greatwall-like
LOC111135160,-52,GO:0051301,1.5e-05,protein timeless homolog
LOC111120125,-72,GO:0051301,1.5e-05,spindle and centriole-associated protein 1-like
LOC111118975,64,GO:0051301,1.5e-05,kinesin-like protein KIN-7I
LOC111118975,54,GO:0051301,1.5e-05,kinesin-like protein KIN-7I
LOC111118975,-61,GO:0051301,1.5e-05,kinesin-like protein KIN-7I
LOC111121152,50,GO:0051301,1.5e-05,uncharacterized LOC111121152
LOC111121152,71,GO:0051301,1.5e-05,uncharacterized LOC111121152
LOC111119090,50,GO:0051301,1.5e-05,ubiquitin-conjugating enzyme E2 S-like
LOC111118796,-52,GO:0051301,1.5e-05,nucleoprotein TPR-like
LOC111121780,55,GO:0051301,1.5e-05,protein phosphatase 1 regulatory subunit 7-like
LOC111121780,50,GO:0051301,1.5e-05,protein phosphatase 1 regulatory subunit 7-like
LOC111121780,67,GO:0051301,1.5e-05,protein phosphatase 1 regulatory subunit 7-like
LOC111124747,66,GO:0051301,1.5e-05,centrosomal protein of 164 kDa-like
LOC111124747,58,GO:0051301,1.5e-05,centrosomal protein of 164 kDa-like
LOC111125463,-51,GO:0051301,1.5e-05,hemicentin-1-like
LOC111122929,-51,GO:0051301,1.5e-05,ubiquitin carboxyl-terminal hydrolase 26-like
LOC111122929,-57,GO:0051301,1.5e-05,ubiquitin carboxyl-terminal hydrolase 26-like
LOC111125942,-57,GO:0051301,1.5e-05,centriolin-like
LOC111124746,56,GO:0051301,1.5e-05,septin-11-like
LOC111124746,70,GO:0051301,1.5e-05,septin-11-like
LOC111131058,54,GO:0051301,1.5e-05,cyclin-K-like
LOC111127743,64,GO:0051301,1.5e-05,mis18-binding protein 1-like
LOC111127743,54,GO:0051301,1.5e-05,mis18-binding protein 1-like
LOC111127743,56,GO:0051301,1.5e-05,mis18-binding protein 1-like
LOC111130636,56,GO:0051301,1.5e-05,anaphase-promoting complex subunit 1-like
LOC111130636,-52,GO:0051301,1.5e-05,anaphase-promoting complex subunit 1-like
LOC111129365,56,GO:0051301,1.5e-05,baculoviral IAP repeat-containing protein 6-like
LOC111128552,-58,GO:0051301,1.5e-05,HAUS augmin-like complex subunit 1
LOC111128552,70,GO:0051301,1.5e-05,HAUS augmin-like complex subunit 1
LOC111128537,56,GO:0051301,1.5e-05,uncharacterized LOC111128537
LOC111129611,-56,GO:0051301,1.5e-05,uncharacterized LOC111129611
LOC111129611,-64,GO:0051301,1.5e-05,uncharacterized LOC111129611
LOC111131413,57,GO:0051301,1.5e-05,centriole
LOC111136013,53,GO:0051301,1.5e-05,caltractin-like
LOC111132180,-63,GO:0051301,1.5e-05,borealin-like
LOC111134709,61,GO:0051301,1.5e-05,leucine-rich repeat and coiled-coil domain-containing protein 1-like
LOC111134148,-50,GO:0051301,1.5e-05,septin-7-like
LOC111134148,51,GO:0051301,1.5e-05,septin-7-like
LOC111137330,50,GO:0051301,1.5e-05,aurora kinase A-like
LOC111135283,59,GO:0051301,1.5e-05,tRNA (cytosine(34)-C(5))-methyltransferase-like
LOC111134306,-52,GO:0051301,1.5e-05,N-lysine methyltransferase KMT5A-like
LOC111134306,-54,GO:0051301,1.5e-05,N-lysine methyltransferase KMT5A-like
LOC111137056,74,GO:0051301,1.5e-05,HAUS augmin-like complex subunit 4
LOC111134735,51,GO:0051301,1.5e-05,cohesin subunit SA-1-like
LOC111134995,54,GO:0051301,1.5e-05,tankyrase-1-like
LOC111134076,50,GO:0051301,1.5e-05,FK506-binding protein 3-like
LOC111135331,53,GO:0051301,1.5e-05,anaphase-promoting complex subunit 4-like
LOC111137585,52,GO:0051301,1.5e-05,macrophage erythroblast attacher-like
LOC111134795,-58,GO:0051301,1.5e-05,condensin complex subunit 2-like
LOC111134796,55,GO:0051301,1.5e-05,leucine zipper putative tumor suppressor 2 homolog
LOC111132949,-51,GO:0051301,1.5e-05,transforming acidic coiled-coil-containing protein 3-like
LOC111134993,64,GO:0051301,1.5e-05,transforming acidic coiled-coil-containing protein 1-like
LOC111134993,74,GO:0051301,1.5e-05,transforming acidic coiled-coil-containing protein 1-like
LOC111101550,-58,GO:0051301,1.5e-05,spindle and kinetochore-associated protein 3-like
LOC111101550,-50,GO:0051301,1.5e-05,spindle and kinetochore-associated protein 3-like
LOC111099585,67,GO:0051301,1.5e-05,lys-63-specific deubiquitinase BRCC36-like
LOC111100880,-51,GO:0051301,1.5e-05,mini-chromosome maintenance complex-binding protein-like
LOC111100561,-61,GO:0051301,1.5e-05,probable ubiquitin carboxyl-terminal hydrolase FAF-X
LOC111100632,53,GO:0051301,1.5e-05,receptor expression-enhancing protein 1-like
LOC111102678,57,GO:0051301,1.5e-05,dual specificity protein kinase Ttk-like
LOC111105379,55,GO:0051301,1.5e-05,serine/threonine-protein kinase Nek9-like
LOC111108626,55,GO:0051301,1.5e-05,integrator complex subunit 13-like
LOC111122940,54,GO:0045184,1.6e-05,rho family-interacting cell polarization regulator 2-like
LOC111121701,-52,GO:0045184,1.6e-05,putative ankyrin repeat protein RF_0381
LOC111118817,55,GO:0045184,1.6e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like
LOC111123804,-57,GO:0045184,1.6e-05,NTF2-related export protein 2-like
LOC111123804,-52,GO:0045184,1.6e-05,NTF2-related export protein 2-like
LOC111123804,-70,GO:0045184,1.6e-05,NTF2-related export protein 2-like
LOC111124392,-61,GO:0045184,1.6e-05,uncharacterized LOC111124392
LOC111101238,57,GO:0045184,1.6e-05,tankyrase-1-like
LOC111107913,52,GO:0045184,1.6e-05,filamin-A-like
LOC111107913,53,GO:0045184,1.6e-05,filamin-A-like
LOC111110204,56,GO:0051648,1.7e-05,optineurin-like
LOC111120125,-72,GO:0046599,2.0e-05,spindle and centriole-associated protein 1-like
LOC111134751,-52,GO:0046599,2.0e-05,centrosomal protein of 76 kDa-like
LOC111134751,-70,GO:0046599,2.0e-05,centrosomal protein of 76 kDa-like
LOC111110197,-57,GO:0007010,2.9e-05,uncharacterized LOC111110197
LOC111124649,-52,GO:0007010,2.9e-05,rho GTPase-activating protein 26-like
LOC111134328,-69,GO:0007010,2.9e-05,protein kinase C iota type-like
LOC111137094,79,GO:0007010,2.9e-05,dedicator of cytokinesis protein 1-like
LOC111137585,52,GO:0007010,2.9e-05,macrophage erythroblast attacher-like
LOC111102779,-64,GO:0007010,2.9e-05,uncharacterized LOC111102779
LOC111108143,-61,GO:0007010,2.9e-05,FYVE
LOC111107307,53,GO:0007010,2.9e-05,FYVE
LOC111114212,-51,GO:0006886,3.1e-05,coatomer subunit alpha-like
LOC111114212,57,GO:0006886,3.1e-05,coatomer subunit alpha-like
LOC111135967,54,GO:0006886,3.1e-05,sorting nexin-33-like
LOC111125905,-61,GO:0006886,3.1e-05,kinesin-like protein KIF13B
LOC111125905,-70,GO:0006886,3.1e-05,kinesin-like protein KIF13B
LOC111125905,73,GO:0006886,3.1e-05,kinesin-like protein KIF13B
LOC111125905,53,GO:0006886,3.1e-05,kinesin-like protein KIF13B
LOC111125905,-53,GO:0006886,3.1e-05,kinesin-like protein KIF13B
LOC111125959,-53,GO:0006886,3.1e-05,uncharacterized LOC111125959
LOC111134129,54,GO:0006886,3.1e-05,AP-2 complex subunit alpha-2-like
LOC111108287,-50,GO:0006886,3.1e-05,TBC1 domain family member 9-like
LOC111108287,80,GO:0006886,3.1e-05,TBC1 domain family member 9-like
LOC111121630,-59,GO:0006886,3.1e-05,programmed cell death protein 6-like
LOC111118911,80,GO:0006886,3.1e-05,sorting nexin-8-like
LOC111120273,50,GO:0006886,3.1e-05,protein HID1-like
LOC111120273,67,GO:0006886,3.1e-05,protein HID1-like
LOC111120273,60,GO:0006886,3.1e-05,protein HID1-like
LOC111120273,65,GO:0006886,3.1e-05,protein HID1-like
LOC111118731,-50,GO:0006886,3.1e-05,protein transport protein Sec24A-like
LOC111120738,64,GO:0006886,3.1e-05,RAB6A-GEF complex partner protein 1-like
LOC111120467,53,GO:0006886,3.1e-05,protein transport protein Sec24C-like
LOC111124997,55,GO:0006886,3.1e-05,SNARE-associated protein Snapin-like
LOC111122737,-50,GO:0006886,3.1e-05,syntaxin-17-like
LOC111127465,61,GO:0006886,3.1e-05,TBC1 domain family member 1-like
LOC111137817,63,GO:0006886,3.1e-05,syntaxin-16-like
LOC111135523,-51,GO:0006886,3.1e-05,growth hormone-regulated TBC protein 1-A-like
LOC111100344,-50,GO:0006886,3.1e-05,unconventional myosin-VI-like
LOC111100794,52,GO:0006886,3.1e-05,TBC1 domain family member 12-like
LOC111108268,-59,GO:0006886,3.1e-05,TBC1 domain family member 30-like
LOC111112703,51,GO:0006886,3.1e-05,sorting nexin-13-like
LOC111113387,56,GO:0006886,3.1e-05,serine/threonine-protein kinase tousled-like 2
LOC111113385,54,GO:0006886,3.1e-05,serine/threonine-protein kinase tousled-like 2
LOC111117701,55,GO:0006886,3.1e-05,gamma-soluble NSF attachment protein-like
LOC111117701,51,GO:0006886,3.1e-05,gamma-soluble NSF attachment protein-like
LOC111124696,-71,GO:0007051,3.2e-05,E3 SUMO-protein ligase RanBP2-like
LOC111124696,-51,GO:0007051,3.2e-05,E3 SUMO-protein ligase RanBP2-like
LOC111137330,50,GO:0007051,3.2e-05,aurora kinase A-like
LOC111121674,-51,GO:0007059,3.3e-05,N-alpha-acetyltransferase 60-like
LOC111118975,64,GO:0007059,3.3e-05,kinesin-like protein KIN-7I
LOC111118975,54,GO:0007059,3.3e-05,kinesin-like protein KIN-7I
LOC111118975,-61,GO:0007059,3.3e-05,kinesin-like protein KIN-7I
LOC111124939,50,GO:0007059,3.3e-05,centrosome-associated protein CEP250-like
LOC111101550,-58,GO:0007059,3.3e-05,spindle and kinetochore-associated protein 3-like
LOC111101550,-50,GO:0007059,3.3e-05,spindle and kinetochore-associated protein 3-like
LOC111100561,-61,GO:0007059,3.3e-05,probable ubiquitin carboxyl-terminal hydrolase FAF-X
LOC111110677,-57,GO:0006366,3.5e-05,homeodomain-interacting protein kinase 2-like
LOC111109352,-64,GO:0006366,3.5e-05,PHD and RING finger domain-containing protein 1-like
LOC111118832,-51,GO:0006366,3.5e-05,zinc finger protein GLIS3-like
LOC111129570,-51,GO:0006366,3.5e-05,DNA-directed RNA polymerase II subunit RPB3-like
LOC111129369,51,GO:0006366,3.5e-05,protein trachealess-like
LOC111128837,-54,GO:0006366,3.5e-05,lysine-specific demethylase 5A-like
LOC111136991,-58,GO:0006366,3.5e-05,DNA-directed RNA polymerase II subunit RPB2-like
LOC111136987,-58,GO:0006366,3.5e-05,DNA-directed RNA polymerase II subunit RPB2
