gene	value.var	block	component	transcript	product	GO	GOterm	GOslim	process
gene.LOC111122316	0.113960255681204	Y	1	XM_022463999.1;XM_022464000.1;XM_022464001.1;XM_022464002.1;XM_022464004.1;XM_022464005.1;XM_022464006.1;XM_022464007.1;XM_022464008.1;XM_022464009.1;XM_022464010.1;XM_022464011.1;XM_022464012.1;XM_022464013.1;XM_022464016.1;XM_022464017.1;XM_022464018.1;XM_022464019.1;XM_022464020.1;XM_022464021.1;XM_022464022.1;XM_022464023.1;XM_022464024.1;XM_022464025.1;XM_022464027.1;XM_022464028.1;XM_022464029.1;XM_022463995.1;XM_022463996.1;XM_022463997.1;XM_022463998.1	ankyrin-2-like%2C transcript variant X5;ankyrin-2-like%2C transcript variant X6;ankyrin-2-like%2C transcript variant X7;ankyrin-2-like%2C transcript variant X8;ankyrin-2-like%2C transcript variant X9;ankyrin-2-like%2C transcript variant X10;ankyrin-2-like%2C transcript variant X11;ankyrin-2-like%2C transcript variant X12;ankyrin-2-like%2C transcript variant X13;ankyrin-2-like%2C transcript variant X14;ankyrin-2-like%2C transcript variant X15;ankyrin-2-like%2C transcript variant X16;ankyrin-2-like%2C transcript variant X17;ankyrin-2-like%2C transcript variant X18;ankyrin-2-like%2C transcript variant X19;ankyrin-2-like%2C transcript variant X20;ankyrin-2-like%2C transcript variant X21;ankyrin-2-like%2C transcript variant X22;ankyrin-2-like%2C transcript variant X23;ankyrin-2-like%2C transcript variant X24;ankyrin-2-like%2C transcript variant X25;ankyrin-2-like%2C transcript variant X26;ankyrin-2-like%2C transcript variant X27;ankyrin-2-like%2C transcript variant X28;ankyrin-2-like%2C transcript variant X29;ankyrin-2-like%2C transcript variant X30;ankyrin-2-like%2C transcript variant X31;ankyrin-2-like%2C transcript variant X1;ankyrin-2-like%2C transcript variant X2;ankyrin-2-like%2C transcript variant X3;ankyrin-2-like%2C transcript variant X4	GO:0005764;GO:0005886;GO:0009986;GO:0014704;GO:0014731;GO:0016020;GO:0016323;GO:0016328;GO:0016529;GO:0030018;GO:0030315;GO:0030424;GO:0030425;GO:0031594;GO:0033268;GO:0033270;GO:0042383;GO:0043034;GO:0043194;GO:0045202;GO:0045211;GO:0005200;GO:0008092;GO:0030507;GO:0030674;GO:0045296;GO:0000281;GO:0007009;GO:0007165;GO:0007409;GO:0007411;GO:0007528;GO:0010628;GO:0010650;GO:0010765;GO:0010960;GO:0019228;GO:0034112;GO:0043001;GO:0043266;GO:0045184;GO:0045760;GO:0045838;GO:0050808;NA;GO:0044325;GO:0071286;GO:0071709;GO:0072659;GO:0072660;GO:0072661;GO:0090314;GO:0099612;GO:1900827;GO:1902260;GO:2000651;GO:2001259	lysosome;plasma membrane;cell surface;intercalated disc;spectrin-associated cytoskeleton;membrane;basolateral plasma membrane;lateral plasma membrane;sarcoplasmic reticulum;Z disc;T-tubule;axon;dendrite;neuromuscular junction;node of Ranvier;paranode region of axon;sarcolemma;costamere;initial segment;synapse;postsynaptic membrane;structural constituent of cytoskeleton;cytoskeletal protein binding;spectrin binding;protein binding;bridging;cadherin binding;cytokinesis after mitosis;plasma membrane organization;signal transduction;axonogenesis;axon guidance;neuromuscular junction development;positive regulation of gene expression;positive regulation of cell communication by electrical coupling;positive regulation of sodium ion transport;magnesium ion homeostasis;regulation of action potential in neuron;positive regulation of homotypic cell-cell adhesion;Golgi to plasma membrane protein transport;regulation of potassium ion transport;establishment of protein localization;positive regulation of action potential;positive regulation of membrane potential;synapse organization;NA	other cytoplasmic organelle;other membranes;plasma membrane;other cellular component;cytoskeleton;ER/Golgi;cytoskeletal activity;other molecular function;cell cycle and proliferation;cell organization and biogenesis;signal transduction;developmental processes;other metabolic processes;other biological processes;transport;cell adhesion;NA	C;F;P;NA
gene.LOC111111555	0.129391040413293	Y	1	XM_022448607.1	uncharacterized LOC111111555	NA	NA	NA	NA
gene.LOC111121496	0.14438495261152	Y	1	XM_022462801.1	SPARC-like	GO:0005604;GO:0005615;GO:0005509;GO:0005518;GO:0050840;GO:0007165;GO:0007275;GO:0048856	basement membrane;extracellular space;calcium ion binding;collagen binding;extracellular matrix binding;signal transduction;multicellular organismal development;anatomical structure development	extracellular matrix;non-structural extracellular;other molecular function;signal transduction;developmental processes;other biological processes	C;F;P
gene.LOC111110636	0.154415970070169	Y	1	XM_022447218.1;XM_022447227.1;XM_022447236.1;XM_022447243.1	transcription factor Sox-5-like%2C transcript variant X1;transcription factor Sox-5-like%2C transcript variant X2;transcription factor Sox-5-like%2C transcript variant X3;transcription factor Sox-5-like%2C transcript variant X4	GO:0005634;GO:0003677;GO:0006351;GO:0006355;GO:0007275	nucleus;DNA binding;transcription;DNA-dependent;regulation of transcription;DNA-dependent;multicellular organismal development	nucleus;nucleic acid binding activity;RNA metabolism;developmental processes	C;F;P
gene.LOC111101629	0.197357031667177	Y	1	NA	NA	NA	NA	NA	NA
gene.LOC111135084	0.204405566607152	Y	1	XM_022484807.1;XM_022484818.1;XM_022484826.1	programmed cell death 6-interacting protein-like%2C transcript variant X1;programmed cell death 6-interacting protein-like%2C transcript variant X2;programmed cell death 6-interacting protein-like%2C transcript variant X3	GO:0001772;GO:0005815;GO:0005829;GO:0005923;GO:0005925;GO:0016020;GO:0042470;GO:0042641;GO:0043209;GO:0070062;GO:0031871;GO:0042803;GO:0046983;GO:0048306;GO:0070830;GO:0000281;GO:0000915;GO:0000920;GO:0006915;GO:0010824;GO:0015031;GO:0045199;GO:0051260;GO:0039702;GO:0070971;GO:0090543;GO:0090559;GO:0090611;GO:1903543;GO:1903551;GO:1903553;GO:1903561	immunological synapse;microtubule organizing center;cytosol;tight junction;focal adhesion;membrane;melanosome;actomyosin;myelin sheath;extracellular vesicular exosome;proteinase activated receptor binding;protein homodimerization activity;protein dimerization activity;calcium-dependent protein binding;;cytokinesis after mitosis;cytokinesis;contractile ring formation;cell separation during cytokinesis;apoptosis;regulation of centrosome duplication;protein transport;maintenance of epithelial cell apical/basal polarity;protein homooligomerization;NA	other membranes;plasma membrane;cytoskeleton;cytosol;other cellular component;non-structural extracellular;signal transduction activity;other molecular function;cell organization and biogenesis;cell cycle and proliferation;other biological processes;death;transport;NA	C;F;None;P;NA
gene.LOC111125757	0.211812416569448	Y	1	XM_022469843.1	immediate early response gene 5-like protein	GO:0000159;GO:0005634;GO:0005737;GO:0042802;GO:0006351;GO:0034605;GO:0042127;GO:0045944;GO:1900036	protein phosphatase type 2A complex;nucleus;cytoplasm;identical protein binding;transcription;DNA-dependent;cellular response to heat;regulation of cell proliferation;positive regulation of transcription from RNA polymerase II promoter;NA	other cellular component;nucleus;other molecular function;RNA metabolism;stress response;cell cycle and proliferation;NA	C;F;P;NA
gene.LOC111123983	0.215652724466045	Y	1	XM_022466777.1;XM_022466778.1;XM_022466779.1;XM_022466780.1;XM_022466781.1;XM_022466782.1;XM_022466783.1;XM_022466784.1;XM_022466785.1;XM_022466786.1;XM_022466787.1;XM_022466788.1;XM_022466789.1	rap guanine nucleotide exchange factor 1-like%2C transcript variant X1;rap guanine nucleotide exchange factor 1-like%2C transcript variant X2;rap guanine nucleotide exchange factor 1-like%2C transcript variant X3;rap guanine nucleotide exchange factor 1-like%2C transcript variant X4;rap guanine nucleotide exchange factor 1-like%2C transcript variant X5;rap guanine nucleotide exchange factor 1-like%2C transcript variant X6;rap guanine nucleotide exchange factor 1-like%2C transcript variant X7;rap guanine nucleotide exchange factor 1-like%2C transcript variant X8;rap guanine nucleotide exchange factor 1-like%2C transcript variant X9;rap guanine nucleotide exchange factor 1-like%2C transcript variant X10;rap guanine nucleotide exchange factor 1-like%2C transcript variant X11;rap guanine nucleotide exchange factor 1-like%2C transcript variant X12;rap guanine nucleotide exchange factor 1-like%2C transcript variant X13	GO:0005737;GO:0005768;GO:0005769;GO:0005829;GO:0030670;GO:0043231;GO:0043234;GO:0048471;GO:0005085;GO:0017034;GO:0017124;GO:0000186;GO:0001568;GO:0007165;GO:0007169;GO:0010976;GO:0016337;GO:0032486;GO:0043547;GO:0046328;GO:0046580;GO:0048008;GO:0051898;GO:0070373;GO:0070374;GO:0038180;GO:0061028;GO:0071320;GO:0090090;GO:1901888;GO:1905451;GO:1990090;GO:2000178	cytoplasm;endosome;early endosome;cytosol;phagocytic vesicle membrane;intracellular membrane-bounded organelle;protein complex;perinuclear region of cytoplasm;guanyl-nucleotide exchange factor activity;Rap guanyl-nucleotide exchange factor activity;SH3 domain binding;activation of MAPKK activity;blood vessel development;signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway;positive regulation of neuron projection development;cell-cell adhesion;Rap protein signal transduction;positive regulation of GTPase activity;regulation of JNK cascade;negative regulation of Ras protein signal transduction;platelet-derived growth factor receptor signaling pathway;negative regulation of protein kinase B signaling cascade;negative regulation of ERK1 and ERK2 cascade;positive regulation of ERK1 and ERK2 cascade;NA	other cellular component;other cytoplasmic organelle;cytosol;other membranes;enzyme regulator activity;other molecular function;protein metabolism;signal transduction;developmental processes;cell organization and biogenesis;cell adhesion;other biological processes;stress response;NA	C;F;P;NA
gene.LOC111131875	0.282342290824168	Y	1	XM_022479638.1	stromelysin-1-like	GO:0005576;GO:0005578;GO:0005615;GO:0005886;GO:0031225;GO:0004222;GO:0004252;GO:0008270;GO:0001525;GO:0001541;GO:0001542;GO:0001554;GO:0009725;GO:0022617;GO:0030154;GO:0030574;GO:0051591	extracellular region;proteinaceous extracellular matrix;extracellular space;plasma membrane;anchored to membrane;metalloendopeptidase activity;serine-type endopeptidase activity;zinc ion binding;angiogenesis;ovarian follicle development;ovulation from ovarian follicle;luteolysis;response to hormone stimulus;extracellular matrix disassembly;cell differentiation;collagen catabolic process;response to cAMP	non-structural extracellular;extracellular matrix;other membranes;plasma membrane;other molecular function;developmental processes;other biological processes;cell organization and biogenesis;other metabolic processes	C;F;P
gene.LOC111130682	0.324941802361791	Y	1	XM_022477873.1;XM_022477874.1	galectin-4-like%2C transcript variant X1;galectin-4-like%2C transcript variant X2	GO:0005829;GO:0031410;GO:0030246;GO:0098586;GO:0098792	cytosol;cytoplasmic vesicle;carbohydrate binding;NA	cytosol;other cellular component;other molecular function;NA	C;F;NA
gene.LOC111135967	0.432030702823014	Y	1	XM_022486479.1;XM_022486486.1;XM_022486495.1;XM_022486505.1;XM_022486514.1;XM_022486523.1;XM_022486529.1	sorting nexin-33-like%2C transcript variant X1;sorting nexin-33-like%2C transcript variant X2;sorting nexin-33-like%2C transcript variant X3;sorting nexin-33-like%2C transcript variant X4;sorting nexin-33-like%2C transcript variant X5;sorting nexin-33-like%2C transcript variant X6;sorting nexin-33-like%2C transcript variant X7	GO:0005829;GO:0019898;GO:0030659;GO:0031410;GO:0035091;GO:0000281;GO:0006886;GO:0006897;GO:0007032;GO:0016197;GO:0036089;GO:0044351;GO:0097320	cytosol;extrinsic to membrane;cytoplasmic vesicle membrane;cytoplasmic vesicle;phosphoinositide binding;cytokinesis after mitosis;intracellular protein transport;endocytosis;endosome organization;endosome transport;NA	cytosol;other membranes;other cellular component;other molecular function;cell cycle and proliferation;transport;cell organization and biogenesis;NA	C;F;P;NA
gene.LOC111131406	0.441512161695546	Y	1	XM_022478907.1;XM_022478908.1;XM_022478909.1;XM_022478910.1;XM_022478911.1;XM_022478912.1;XM_022478914.1;XM_022478915.1;XM_022478916.1	RNA-binding protein Nova-1-like%2C transcript variant X1;RNA-binding protein Nova-1-like%2C transcript variant X2;RNA-binding protein Nova-1-like%2C transcript variant X3;RNA-binding protein Nova-1-like%2C transcript variant X4;RNA-binding protein Nova-1-like%2C transcript variant X5;RNA-binding protein Nova-1-like%2C transcript variant X6;RNA-binding protein Nova-1-like%2C transcript variant X7;RNA-binding protein Nova-1-like%2C transcript variant X8;RNA-binding protein Nova-1-like%2C transcript variant X9	GO:0005634;GO:0003723;GO:0000398	nucleus;RNA binding;nuclear mRNA splicing;via spliceosome	nucleus;nucleic acid binding activity;RNA metabolism	C;F;P
gene.Trnar.ccu	0.00226157370239986	X	2	NA	NA	NA	NA	NA	NA
gene.LOC111119042	0.00430157058955867	X	2	XM_022458853.1	uncharacterized LOC111119042	GO:0005737;GO:0008270;GO:0090071	cytoplasm;zinc ion binding;NA	other cellular component;other molecular function;NA	C;F;NA
gene.LOC111122547	0.0117265882753759	X	2	XM_022464330.1	paired mesoderm homeobox protein 2-like	GO:0005634;GO:0002053;GO:0030326;GO:0042472;GO:0042474;GO:0045880;GO:0045944;GO:0048701;GO:0048704;GO:0048844;GO:0051216;GO:0000977;GO:0001228;GO:0071837	nucleus;positive regulation of mesenchymal cell proliferation;embryonic limb morphogenesis;inner ear morphogenesis;middle ear morphogenesis;positive regulation of smoothened signaling pathway;positive regulation of transcription from RNA polymerase II promoter;embryonic cranial skeleton morphogenesis;embryonic skeletal system morphogenesis;artery morphogenesis;cartilage development;NA	nucleus;cell cycle and proliferation;developmental processes;signal transduction;RNA metabolism;NA	C;P;NA
gene.LOC111100816	0.0255130621925392	X	2	XM_022432936.1;XM_022432947.1	location of vulva defective 1-like%2C transcript variant X1;location of vulva defective 1-like%2C transcript variant X2	GO:0005615;GO:0005886;GO:0005887;GO:0009897;GO:0031088;GO:0031092;GO:0001530;GO:0001948;GO:0008201;GO:0033691;GO:0042806;GO:0043208;GO:0048306;GO:0070492;GO:0002576;GO:0002687;GO:0006954;GO:0007155;GO:0007157;GO:0007159;GO:0010572;GO:0014068;GO:0032496;GO:0033623;GO:0050829;GO:0050900;GO:0050901;GO:0035584	extracellular space;plasma membrane;integral to plasma membrane;external side of plasma membrane;platelet dense granule membrane;platelet alpha granule membrane;lipopolysaccharide binding;glycoprotein binding;heparin binding;sialic acid binding;fucose binding;glycosphingolipid binding;calcium-dependent protein binding;oligosaccharide binding;platelet degranulation;positive regulation of leukocyte migration;inflammatory response;cell adhesion;heterophilic cell adhesion;leukocyte adhesion;positive regulation of platelet activation;positive regulation of phosphoinositide 3-kinase cascade;response to lipopolysaccharide;regulation of integrin activation;defense response to Gram-negative bacterium;leukocyte migration;leukocyte tethering or rolling;NA	non-structural extracellular;other membranes;plasma membrane;other molecular function;transport;other biological processes;stress response;cell adhesion;signal transduction;protein metabolism;NA	C;F;P;NA
gene.LOC111121576	0.0262112117277165	X	2	XM_022462904.1	uncharacterized LOC111121576	GO:0048471;GO:0008270;GO:0030544;GO:0051087;GO:0010628;GO:0044325;GO:1902261;GO:1903762	perinuclear region of cytoplasm;zinc ion binding;Hsp70 protein binding;chaperone binding;positive regulation of gene expression;NA	other cellular component;other molecular function;other metabolic processes;NA	C;F;P;NA
gene.LOC111101991	0.028453095767832	X	2	XM_022434646.1	uncharacterized LOC111101991	GO:0005578;GO:0005581;GO:0005783;GO:0005794;GO:0031012;GO:0010811	proteinaceous extracellular matrix;collagen;endoplasmic reticulum;Golgi apparatus;extracellular matrix;positive regulation of cell-substrate adhesion	extracellular matrix;ER/Golgi;non-structural extracellular;cell adhesion	C;P
gene.LOC111105719	0.037676578846541	X	2	XM_022440096.1	uncharacterized LOC111105719	GO:0005524;GO:0050515;GO:0016114;GO:0019288	ATP binding;4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity;terpenoid biosynthetic process;isopentenyl diphosphate biosynthetic process;mevalonate-independent pathway	other molecular function;kinase activity;other metabolic processes	F;P
gene.LOC111119335	0.0407181311143588	X	2	NA	NA	NA	NA	NA	NA
gene.LOC111111565	0.0429211725660455	X	2	NA	NA	NA	NA	NA	NA
gene.LOC111124788	0.0447148108836589	X	2	XM_022467979.1	protein mesh-like	GO:0005920;GO:0016021;GO:0016327;GO:0007160;GO:0007275;GO:0090528	smooth septate junction;integral to membrane;apicolateral plasma membrane;cell-matrix adhesion;multicellular organismal development;NA	other membranes;plasma membrane;cell adhesion;developmental processes;NA	C;P;NA
gene.LOC111132387	0.0534668136097136	X	2	XM_022480188.1	vicilin-like seed storage protein At2g18540	GO:0005634;GO:0005737;GO:0005829;GO:0005901;GO:0005925;GO:0030864;GO:0032587;GO:0005096;GO:0008289;GO:0042169;GO:0001843;GO:0003007;GO:0006915;GO:0006919;GO:0007165;GO:0008285;GO:0008360;GO:0021575;GO:0030036;GO:0030336;GO:0030900;GO:0032956;GO:0035024;GO:0035307;GO:0048041;GO:0051056;GO:0051497;GO:0051895;GO:1900119	nucleus;cytoplasm;cytosol;caveola;focal adhesion;cortical actin cytoskeleton;ruffle membrane;GTPase activator activity;lipid binding;SH2 domain binding;neural tube closure;heart morphogenesis;apoptosis;activation of caspase activity;signal transduction;negative regulation of cell proliferation;regulation of cell shape;hindbrain morphogenesis;actin cytoskeleton organization;negative regulation of cell migration;forebrain development;regulation of actin cytoskeleton organization;negative regulation of Rho protein signal transduction;positive regulation of protein amino acid dephosphorylation;focal adhesion formation;regulation of small GTPase mediated signal transduction;negative regulation of stress fiber formation;negative regulation of focal adhesion formation;NA	nucleus;other cellular component;cytosol;other membranes;plasma membrane;cytoskeleton;enzyme regulator activity;other molecular function;developmental processes;death;signal transduction;cell cycle and proliferation;cell organization and biogenesis;other biological processes;protein metabolism;cell adhesion;NA	C;F;P;NA
gene.LOC111114134	0.054585434541711	X	2	XM_022452426.1;XM_022452433.1;XM_022452438.1;XM_022452444.1;XM_022452450.1;XM_022452457.1	CD81 antigen-like%2C transcript variant X1;CD81 antigen-like%2C transcript variant X2;CD81 antigen-like%2C transcript variant X3;CD81 antigen-like%2C transcript variant X4;CD81 antigen-like%2C transcript variant X5;CD81 antigen-like%2C transcript variant X6	GO:0005887;GO:0007166	integral to plasma membrane;cell surface receptor linked signal transduction	other membranes;plasma membrane;signal transduction	C;P
gene.LOC111099080	0.0581947500503642	X	2	XM_022430437.1	PR domain zinc finger protein 14-like	GO:0005654;GO:0003723;GO:0008168;GO:0031490;GO:0046872;GO:0000122;GO:0000902;GO:0001708;GO:0001827;GO:0006351;GO:0007281;GO:0007566;GO:0009566;GO:0030718;GO:0034972;GO:0035019;GO:0040037;GO:0044030;GO:0048873;GO:0060817;GO:1902093;GO:1902459	nucleoplasm;RNA binding;methyltransferase activity;chromatin DNA binding;metal ion binding;negative regulation of transcription from RNA polymerase II promoter;cell morphogenesis;cell fate specification;inner cell mass cell fate commitment;transcription;DNA-dependent;germ cell development;embryo implantation;fertilization;germ-line stem cell maintenance;histone H3-R26 methylation;somatic stem cell maintenance;negative regulation of fibroblast growth factor receptor signaling pathway;regulation of DNA methylation;homeostasis of number of cells within a tissue;NA	nucleus;nucleic acid binding activity;other molecular function;RNA metabolism;cell organization and biogenesis;other biological processes;developmental processes;protein metabolism;signal transduction;DNA metabolism;NA	C;F;P;NA
gene.LOC111105454	0.0587580393402984	X	2	XM_022439758.1;XM_022439759.1;XM_022439760.1	multiple epidermal growth factor-like domains protein 10%2C transcript variant X1;multiple epidermal growth factor-like domains protein 10%2C transcript variant X2;multiple epidermal growth factor-like domains protein 10%2C transcript variant X3	GO:0005737;GO:0005856;GO:0005887;GO:0005925;GO:0005796;GO:0005886;GO:0016021;GO:0004714;GO:0005524;GO:0001525;GO:0007169;GO:0007507;GO:0002223;GO:0016266	cytoplasm;cytoskeleton;integral to plasma membrane;focal adhesion;Golgi lumen;plasma membrane;integral to membrane;transmembrane receptor protein tyrosine kinase activity;ATP binding;angiogenesis;transmembrane receptor protein tyrosine kinase signaling pathway;heart development;stimulatory C-type lectin receptor signaling pathway;O-glycan processing	other cellular component;cytoskeleton;other membranes;plasma membrane;ER/Golgi;kinase activity;signal transduction activity;other molecular function;developmental processes;signal transduction;stress response;protein metabolism	C;F;P
gene.LOC111103939	0.0915667021764757	X	2	XM_022437577.1	uncharacterized LOC111103939	GO:0003677;GO:0006310;GO:0015074;GO:0046718;GO:0044826;GO:0075713	DNA binding;DNA recombination;DNA integration;entry of virus into host cell;NA	nucleic acid binding activity;DNA metabolism;other biological processes;NA	F;P;NA
gene.LOC111104325	0.0928450215319223	X	2	XM_022438211.1;XM_022438212.1	cell wall integrity and stress response component 2-like%2C transcript variant X1;cell wall integrity and stress response component 2-like%2C transcript variant X2	GO:0016021	integral to membrane	other membranes	C
gene.LOC111127170	0.099464203189513	X	2	XM_022472236.1	paired mesoderm homeobox protein 2-like	GO:0005634;GO:0002053;GO:0030326;GO:0042472;GO:0042474;GO:0045880;GO:0045944;GO:0048701;GO:0048704;GO:0048844;GO:0051216;GO:0000977;GO:0001228;GO:0071837	nucleus;positive regulation of mesenchymal cell proliferation;embryonic limb morphogenesis;inner ear morphogenesis;middle ear morphogenesis;positive regulation of smoothened signaling pathway;positive regulation of transcription from RNA polymerase II promoter;embryonic cranial skeleton morphogenesis;embryonic skeletal system morphogenesis;artery morphogenesis;cartilage development;NA	nucleus;cell cycle and proliferation;developmental processes;signal transduction;RNA metabolism;NA	C;P;NA
gene.LOC111132371	0.127579799429658	X	2	XM_022480174.1	uncharacterized LOC111132371	GO:0000502;GO:0005634;GO:0005829;GO:0005886;GO:0031595;GO:0031597;GO:0005524;GO:0017025;GO:0030433;GO:0045899;GO:0036402	proteasome complex;nucleus;cytosol;plasma membrane;nuclear proteasome complex;cytosolic proteasome complex;ATP binding;TATA-binding protein binding;ER-associated protein catabolic process;positive regulation of transcriptional preinitiation complex assembly;NA	other cellular component;nucleus;cytosol;other membranes;plasma membrane;other molecular function;protein metabolism;RNA metabolism;cell organization and biogenesis;NA	C;F;P;NA
gene.LOC111127250	0.152795941720667	X	2	XM_022472344.1	uncharacterized LOC111127250	GO:0005634;GO:0005737;GO:0005829;GO:0016279;GO:0046872;GO:0046975;GO:0000122;GO:0006351;GO:0008285;GO:0018026;GO:0018027;GO:0043516;GO:0000993	nucleus;cytoplasm;cytosol;protein-lysine N-methyltransferase activity;metal ion binding;histone methyltransferase activity (H3-K36 specific);negative regulation of transcription from RNA polymerase II promoter;transcription;DNA-dependent;negative regulation of cell proliferation;peptidyl-lysine monomethylation;peptidyl-lysine dimethylation;regulation of DNA damage response;signal transduction by p53 class mediator;NA	nucleus;other cellular component;cytosol;other molecular function;RNA metabolism;cell cycle and proliferation;protein metabolism;signal transduction;stress response;NA	C;F;P;NA
gene.LOC111136568	0.197823921519467	X	2	NA	NA	NA	NA	NA	NA
gene.LOC111103572	0.275373875891246	X	2	XM_022436925.1	putative nuclease HARBI1	GO:0005634;GO:0005737;GO:0004518;GO:0046872	nucleus;cytoplasm;nuclease activity;metal ion binding	nucleus;other cellular component;other molecular function	C;F
gene.LOC111134111	0.297231158529487	X	2	XM_022482925.1	monocarboxylate transporter 13-like	GO:0005887;GO:0008028;GO:0015293;GO:0015718	integral to plasma membrane;monocarboxylic acid transmembrane transporter activity;symporter activity;monocarboxylic acid transport	other membranes;plasma membrane;transporter activity;transport	C;F;P
gene.LOC111123685	0.368843718959687	X	2	XM_022466186.1	uncharacterized LOC111123685	GO:0005737;GO:0005509	cytoplasm;calcium ion binding	other cellular component;other molecular function	C;F
gene.LOC111137753	0.454068124403397	X	2	XM_022489384.1;XM_022489385.1;XM_022489386.1;XM_022489387.1	uncharacterized LOC111137753%2C transcript variant X1;uncharacterized LOC111137753%2C transcript variant X2;uncharacterized LOC111137753%2C transcript variant X3;uncharacterized LOC111137753%2C transcript variant X4		NA	NA	NA
gene.LOC111111563	0.605011428649383	X	2	XM_022448610.1;XM_022448611.1	THAP domain-containing protein 10-like%2C transcript variant X1;THAP domain-containing protein 10-like%2C transcript variant X2	GO:0003677;GO:0046872	DNA binding;metal ion binding	nucleic acid binding activity;other molecular function	F
gene.LOC111129374	0.0130042261170562	Y	2	XM_022475726.1;XM_022475727.1	coiled-coil domain-containing protein 170-like%2C transcript variant X1;coiled-coil domain-containing protein 170-like%2C transcript variant X2		NA	NA	NA
gene.LOC111122588	0.0228003304923019	Y	2	XM_022464379.1	radial spoke head 1 homolog	GO:0000794;GO:0001520;GO:0005634;GO:0005737;GO:0005829;GO:0031514;GO:0007286;GO:0035082;GO:0051321;GO:0036126;GO:0072687	condensed nuclear chromosome;outer dense fiber;nucleus;cytoplasm;cytosol;motile secondary cilium;spermatid development;axoneme assembly;meiotic cell cycle;NA	nucleus;other cellular component;cytosol;other biological processes;cell organization and biogenesis;cell cycle and proliferation;NA	C;P;NA
gene.LOC111136881	0.0496476426285251	Y	2	XM_022488031.1	cytochrome b5 domain-containing protein 1-like	GO:0046872	metal ion binding	other molecular function	F
gene.LOC111125484	0.0590239363945936	Y	2	XM_022469378.1;XM_022469389.1;XM_022469397.1;XM_022469402.1	uncharacterized LOC111125484%2C transcript variant X1;uncharacterized LOC111125484%2C transcript variant X2;uncharacterized LOC111125484%2C transcript variant X3;uncharacterized LOC111125484%2C transcript variant X4	GO:0005634;GO:0009507;GO:0003677;GO:0003700;GO:0006351	nucleus;chloroplast;DNA binding;transcription factor activity;transcription;DNA-dependent	nucleus;other cellular component;nucleic acid binding activity;transcription regulatory activity;RNA metabolism	C;F;P
gene.LOC111130353	0.0747480230942659	Y	2	XM_022477325.1;XM_022477326.1;XM_022477327.1;XM_022477329.1;XM_022477330.1;XM_022477331.1;XM_022477332.1;XM_022477333.1;XM_022477334.1;XM_022477335.1;XM_022477336.1;XM_022477337.1;XM_022477338.1;XM_022477339.1;XM_022477340.1;XM_022477341.1;XM_022477342.1;XM_022477343.1;XM_022477345.1;XM_022477346.1;XM_022477347.1;XM_022477348.1;XM_022477349.1;XM_022477350.1;XM_022477351.1;XM_022477352.1;XM_022477353.1	tubulin polyglutamylase ttll6-like%2C transcript variant X1;tubulin polyglutamylase ttll6-like%2C transcript variant X2;tubulin polyglutamylase ttll6-like%2C transcript variant X3;tubulin polyglutamylase ttll6-like%2C transcript variant X4;tubulin polyglutamylase ttll6-like%2C transcript variant X5;tubulin polyglutamylase ttll6-like%2C transcript variant X6;tubulin polyglutamylase ttll6-like%2C transcript variant X7;tubulin polyglutamylase ttll6-like%2C transcript variant X8;tubulin polyglutamylase ttll6-like%2C transcript variant X9;tubulin polyglutamylase ttll6-like%2C transcript variant X10;tubulin polyglutamylase ttll6-like%2C transcript variant X11;tubulin polyglutamylase ttll6-like%2C transcript variant X12;tubulin polyglutamylase ttll6-like%2C transcript variant X13;tubulin polyglutamylase ttll6-like%2C transcript variant X14;tubulin polyglutamylase ttll6-like%2C transcript variant X15;tubulin polyglutamylase ttll6-like%2C transcript variant X16;tubulin polyglutamylase ttll6-like%2C transcript variant X17;tubulin polyglutamylase ttll6-like%2C transcript variant X18;tubulin polyglutamylase ttll6-like%2C transcript variant X19;tubulin polyglutamylase ttll6-like%2C transcript variant X20;tubulin polyglutamylase ttll6-like%2C transcript variant X21;tubulin polyglutamylase ttll6-like%2C transcript variant X22;tubulin polyglutamylase ttll6-like%2C transcript variant X23;tubulin polyglutamylase ttll6-like%2C transcript variant X24;tubulin polyglutamylase ttll6-like%2C transcript variant X25;tubulin polyglutamylase ttll6-like%2C transcript variant X26;tubulin polyglutamylase ttll6-like%2C transcript variant X27	GO:0005737;GO:0005874;GO:0005929;GO:0005524;GO:0015631;GO:0070739;GO:0070740;GO:0018095;GO:0035082;GO:0003341;GO:0036064	cytoplasm;microtubule;cilium;ATP binding;tubulin binding;;protein polyglutamylation;axoneme assembly;NA	other cellular component;cytoskeleton;other molecular function;cytoskeletal activity;protein metabolism;cell organization and biogenesis;NA	C;F;None;P;NA
gene.LOC111126154	0.0750504306436788	Y	2	XM_022470584.1	cilia- and flagella-associated protein 77-like	GO:0005929	cilium	other cellular component	C
